Player,Team,#,Nation,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date,Age,TeamShots,TeamxG,TeamPassAccuracy,TeamDribbles,TeamProgression,DaysSinceLastMatch,RollingAvgGoals,Position_WB,Position_CM,Position_DM,Position_RB,Position_GK,Position_RW,Position_AM,Position_FW,Position_LB,Position_CB,Position_LW,Position_LM,Position_RM
7,4,15,0,90,0,0,0,0,0,0,0,0,54,0,1,0,0.0,0.0,0.0,1,0,39,49,79.6,2,29,0,2,1,45,33.42191780821918,14,1.3,74.49333333333334,20,16,9,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,4,15,0,62,0,0,0,0,0,0,0,0,37,1,0,0,0.0,0.0,0.0,0,0,26,32,81.3,2,17,0,0,0,50,33.43561643835616,19,2.0,75.1625,22,20,5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,4,15,0,45,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.0,1,0,10,14,71.4,0,6,0,0,0,64,33.47397260273973,12,1.6,71.45,16,27,14,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,4,15,0,61,0,0,0,0,0,0,1,0,27,0,1,1,0.0,0.0,0.0,1,0,16,20,80.0,1,12,0,1,0,71,33.49315068493151,10,0.1,77.65,17,18,7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,4,15,0,90,0,0,0,0,1,0,0,0,44,3,2,0,0.6,0.6,0.0,1,0,24,27,88.9,2,17,0,2,1,78,33.512328767123286,12,2.3,78.79333333333334,16,19,7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,4,15,0,83,0,0,0,0,0,0,1,0,44,0,0,0,0.0,0.0,0.0,0,0,24,35,68.6,2,16,0,0,0,85,33.53150684931507,15,2.6,68.0375,16,21,7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,5,4,0,15,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,30,33,90.9,5,22,0,0,0,1,29.61917808219178,10,1.5,79.9375,21,18,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,5,4,0,56,0,0,0,0,0,0,0,0,46,0,1,2,0.0,0.0,0.0,1,0,38,42,90.5,5,34,0,0,0,43,29.734246575342464,15,1.0,81.83125,16,16,42,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,5,4,0,8,0,0,0,0,0,0,0,0,6,0,0,2,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,0,0,51,29.756164383561643,11,1.8,75.05625,12,18,8,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,6,20,0,73,0,0,0,0,3,2,0,0,43,3,0,0,0.1,0.1,0.0,0,0,24,35,68.6,4,26,1,1,0,2,20.21095890410959,14,1.1,79.175,22,14,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,6,20,0,90,0,0,0,0,1,0,0,0,79,3,2,0,0.0,0.0,0.3,5,0,57,70,81.4,10,36,0,2,0,8,20.22739726027397,14,1.2,78.50714285714285,23,16,6,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,6,20,0,90,0,0,0,0,1,1,0,0,58,1,2,1,0.0,0.0,0.0,3,0,34,44,77.3,7,27,2,2,0,16,20.24931506849315,9,0.4,79.7,19,14,8,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,6,20,0,90,0,0,0,0,0,0,0,0,83,4,1,1,0.0,0.0,0.1,5,0,60,72,83.3,15,57,0,1,0,29,20.284931506849315,19,2.6,76.63333333333334,24,20,13,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,6,20,0,45,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,12,16,75.0,0,9,0,0,0,36,20.304109589041097,9,0.9,71.79333333333334,22,10,7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,6,20,0,88,0,0,0,0,2,1,0,0,82,2,1,1,0.0,0.0,0.2,8,1,63,74,85.1,14,44,2,1,1,43,20.323287671232876,17,0.9,72.23571428571428,25,17,7,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,6,20,0,59,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,1,0,17,22,77.3,2,12,0,0,0,50,20.34246575342466,9,0.6000000000000001,61.22666666666667,8,7,7,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,6,20,0,87,0,0,0,0,2,1,0,0,47,4,3,2,0.1,0.1,0.0,4,0,18,29,62.1,9,14,1,0,0,72,20.4027397260274,14,0.9,62.92857142857143,32,15,22,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,7,11,3,77,0,0,0,0,3,0,0,0,36,1,0,1,0.1,0.1,0.0,4,0,14,21,66.7,0,25,5,9,4,0,28.55890410958904,10,0.4,77.734375,24,17,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,7,11,3,68,0,1,0,0,3,1,0,0,42,0,1,0,0.2,0.2,0.9,7,1,24,34,70.6,6,25,2,3,2,8,28.58082191780822,18,1.8,82.76666666666667,14,16,8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,7,11,3,90,1,0,0,0,1,1,1,0,35,0,0,2,0.2,0.2,0.3,3,0,21,27,77.8,2,28,6,6,5,15,28.6,9,0.9,84.1875,11,14,7,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,1,0,0
10,7,11,3,90,0,0,0,0,4,1,0,0,34,3,0,0,0.6,0.6,0.1,1,0,11,19,57.9,2,25,3,9,5,29,28.638356164383563,21,1.6,75.34375,30,22,14,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0
10,7,11,3,73,0,1,0,0,1,1,1,0,34,1,0,0,0.1,0.1,0.4,7,1,27,29,93.1,5,29,7,3,1,36,28.65753424657534,22,2.5,80.625,19,27,7,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0
10,7,11,3,68,0,0,0,0,1,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,23,31,74.2,3,31,6,8,4,43,28.676712328767124,13,1.2,79.35,7,29,7,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0
10,7,11,3,90,0,0,0,0,3,2,0,0,38,2,0,0,1.3,1.3,0.1,3,0,20,27,74.1,5,27,5,1,0,50,28.695890410958903,11,2.5,85.50625,23,19,7,0.2,0,0,0,0,0,0,0,0,0,0,1,1,0
10,7,11,3,67,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.3,2,0,8,12,66.7,0,8,3,1,0,64,28.734246575342464,9,1.7,80.56666666666666,18,20,14,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,7,11,3,67,0,0,0,0,1,1,0,0,36,0,0,1,0.1,0.1,0.2,4,0,21,29,72.4,3,29,1,1,0,71,28.753424657534246,14,1.2,81.975,16,13,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,7,11,3,26,0,1,0,0,3,0,0,0,17,0,0,0,0.2,0.2,0.1,5,1,6,11,54.5,0,9,4,3,2,80,28.778082191780822,26,1.5,81.025,15,36,9,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,7,11,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,2,0,0,0,85,28.791780821917808,17,1.7,82.8625,16,27,5,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,8,17,4,30,0,1,0,0,2,0,0,0,19,1,0,0,0.7,0.7,0.2,3,1,10,11,90.9,0,11,2,2,0,0,20.126027397260273,14,2.5,83.60625,21,15,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,8,17,4,26,0,0,0,0,1,0,0,0,19,0,0,0,0.7,0.7,0.0,1,0,11,16,68.8,2,19,3,3,1,8,20.147945205479452,11,1.4,81.98125,19,15,8,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,8,17,4,68,0,0,0,0,0,0,0,0,32,1,1,0,0.0,0.0,0.1,1,0,20,24,83.3,0,19,3,3,0,16,20.16986301369863,8,1.3,79.82666666666667,32,12,8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,8,17,4,18,1,0,0,0,2,1,0,0,12,0,0,1,0.3,0.3,0.1,1,0,6,6,100.0,0,12,1,1,0,29,20.205479452054796,20,2.5,91.05625,22,27,13,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0
11,8,17,4,90,0,0,0,0,3,2,1,0,37,1,0,0,0.5,0.5,0.0,2,0,20,23,87.0,0,27,4,2,0,36,20.224657534246575,15,1.7,81.33571428571429,14,18,7,0.2,0,0,0,0,0,1,0,0,0,0,1,0,0
11,8,17,4,90,0,0,0,0,3,0,0,0,46,1,1,0,0.1,0.1,0.1,3,0,23,33,69.7,4,36,3,6,1,44,20.246575342465754,11,0.9,77.30625,27,7,8,0.2,0,0,0,0,0,1,0,0,0,0,1,0,0
11,8,17,4,90,0,0,0,0,3,1,0,0,38,3,1,1,0.1,0.1,0.0,2,0,18,21,85.7,0,25,5,3,1,51,20.265753424657536,10,0.5,77.6375,21,11,7,0.2,0,0,0,0,0,1,0,0,0,0,1,0,0
11,8,17,4,89,1,0,0,0,8,5,0,0,45,2,2,0,0.4,0.4,0.0,3,0,22,29,75.9,3,34,11,4,2,64,20.301369863013697,23,1.5,80.28,24,26,13,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0
